登録名称（屋号）,公表日,登録年度,登録種別,ZEHビルダー/プランナーZEH普及対象,ZEH普及実績[2020年度]（新築戸建住宅）,ZEH普及実績[2020年度]（既存改修）,ZEH普及実績[2021年度]（新築戸建住宅）,ZEH普及実績[2021年度]（既存改修）,ZEH普及実績[2022年度]（新築戸建住宅）,ZEH普及実績[2022年度]（既存改修）,ZEH普及実績[2023年度]（新築戸建住宅）,ZEH普及実績[2023年度]（既存改修）,ZEH普及実績[2024年度]（新築戸建住宅）,ZEH普及実績[2024年度]（既存改修）,ZEH普及目標[2025年度]（新築戸建住宅）,ZEH普及目標[2025年度]（既存改修）,対応可能エリア,ホームページ,電話番号,ZEHビルダー/プランナー評価
"サンクプラニング株式会社",2025/06/27,2025,"A登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,0,,75,,"北海道",https://thx-corp.jp/zeh/,011-214-9670,
"住友不動産ハウジング株式会社",2025/06/27,2025,"A登録","新築注文戸建住宅",23,,36,,45,,85,,94,,60,,"北海道",https://www.j-urban.jp/zeroene/,0120-204-186,
"有限会社相澤建設",2025/01/31,2024,"A登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"北海道",https://www.aizawa-k.co.jp/zeh/,0133-73-5787,
"光輝建設株式会社",2025/01/31,2024,"A登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"北海道",https://www.koki888.com/concept/zeh/,0152-45-2225,
"北海荘建株式会社",2024/12/27,2024,"A登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,0,0,0,0,34,0,88,0,50,50,"北海道",https://hokkaisoken.com/02745/,011-752-2171,★★★★★★
"株式会社丸真北斗興業",2024/12/27,2024,"A登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"北海道",https://marushin-hokuto.com/zeh/target-figure.html,011-641-2451,
"キタウラ設計室",2024/11/29,2024,"A登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"北海道",https://www.ne.jp/asahi/kitaura/office/zeh.html,011-856-7004,
"コスモ建設株式会社",2024/11/29,2024,"A登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,未,,50,,"北海道",https://www.cosmokensetsu.co.jp/topics/61060/,011-802-6715,
"株式会社シーズン",2024/11/29,2024,"A登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,0,0,5,0,6,0,未,未,50,50,"北海道",https://seasons-e.com/topics/5627/,0123-23-7015,
"有限会社タカプランナーズ",2024/11/29,2024,"A登録","新築注文戸建住宅",0,,0,,0,,0,,未,,80,,"北海道",https://www.tnpa.co.jp/contents/sblog/post-400.html,011-215-9895,
"株式会社萩工務店",2024/10/25,2024,"A登録","新築注文戸建住宅",0,,0,,0,,0,,未,,100,,"北海道",,0123-88-2158,
"株式会社濱谷工務店",2024/10/25,2024,"A登録","新築注文戸建住宅,既存改修",0,0,0,0,100,0,100,0,100,0,100,50,"北海道",https://www.hamaya-eng.co.jp/zeh/,0166-74-5439,★★★★☆☆
"株式会社スマイルホーム",2024/09/27,2024,"A登録","新築注文戸建住宅",0,,0,,0,,0,,未,,65,,"北海道",http://www.smile-home.jp/images/pdf_01.pdf,0123-23-2374,
"イワクラホーム株式会社",2024/07/26,2024,"A登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,46,,49,,未,,75,,"北海道",https://www.iwakura-home.co.jp/profile.php#ZEH,011-821-8841,
"株式会社ＳＫＣサワダ",2024/07/26,2024,"A登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,90,50,"北海道",https://www.skc-sawada.com/s-projects-basic,0166-57-0639,
"株式会社鈴木東建",2024/07/26,2024,"A登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"北海道",https://suzukitoken.jp/zeb-zeh/,011-768-8785,
"株式会社広瀬技建",2024/07/26,2024,"A登録","新築注文戸建住宅,新築建売戸建住宅",100,,100,,100,,100,,未,,100,,"北海道",https://hirose-giken.com/zeh-plan/,011-792-0680,
