登録名称（屋号）,公表日,登録年度,登録種別,ZEHビルダー/プランナーZEH普及対象,ZEH普及実績[2020年度]（新築戸建住宅）,ZEH普及実績[2020年度]（既存改修）,ZEH普及実績[2021年度]（新築戸建住宅）,ZEH普及実績[2021年度]（既存改修）,ZEH普及実績[2022年度]（新築戸建住宅）,ZEH普及実績[2022年度]（既存改修）,ZEH普及実績[2023年度]（新築戸建住宅）,ZEH普及実績[2023年度]（既存改修）,ZEH普及実績[2024年度]（新築戸建住宅）,ZEH普及実績[2024年度]（既存改修）,ZEH普及目標[2025年度]（新築戸建住宅）,ZEH普及目標[2025年度]（既存改修）,対応可能エリア,ホームページ,電話番号,ZEHビルダー/プランナー評価
"住友不動産ハウジング株式会社",2025/06/27,2025,"B登録","新築注文戸建住宅",25,,28,,30,,65,,67,,60,,"宮城県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;岡山県;広島県;福岡県;佐賀県;熊本県;大分県",https://www.j-urban.jp/zeroene/,0120-204-186,
"株式会社ネクスト",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,6,,66,,80,,"茨城県;埼玉県;千葉県;東京都;神奈川県",https://www.next-at.co.jp/corporate/,047-460-2221,
"BESS",2025/06/27,2025,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,0,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県",https://www.bess.jp/zeh/,03-5990-4070,
"株式会社森山工務店",2025/06/27,2025,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,0,0,75,50,"茨城県;千葉県",https://www.big-advance.site/c/177/1668/service,029-894-2143,
"有限会社山下工務店",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"茨城県;栃木県;群馬県;埼玉県;千葉県",https://k-yamashita.co.jp/,0280-84-0304,
"株式会社Lien建築設計",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"茨城県;埼玉県;千葉県;東京都;神奈川県",https://www.lien-act.jp/images/zeh.pdf,047-404-2559,
"栗原工務店",2025/06/06,2025,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,0,0,75,75,"茨城県",https://kurihara-tutiura-wb.jimdofree.com/zeh/,029-831-3097,
"株式会社　清水建築",2025/02/07,2024,"B登録","新築注文戸建住宅,既存改修",50,0,100,0,0,0,50,0,50,0,75,50,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県",https://shimizukenchiku.info/company_profile,048-758-0085,★★★★★☆
"株式会社昭和の森ハウス",2025/01/31,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,未,,100,,"茨城県;埼玉県;千葉県;東京都;神奈川県",https://showanomori.co.jp/shincyaku/%e4%bb%a4%e5%92%8c5%e5%b9%b4%e5%ba%a6%ef%bd%9a%ef%bd%85%ef%bd%88%e3%83%93%e3%83%ab%e3%83%80%e3%83%bc-%e3%83%97%e3%83%a9%e3%83%b3%e3%83%8a%e3%83%bc%e5%ae%9f%e7%b8%be%e5%a0%b1%e5%91%8a/,043-497-2660,
"大川建築設計事務所",2024/12/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,100,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,080-6955-2356,
"有限会社大崎建築事務所",2024/12/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,90,,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;富山県",,03-3426-1252,
"株式会社　島ケン工務店",2024/11/29,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,100,50,"茨城県;群馬県;埼玉県;千葉県;東京都;神奈川県",https://www.shimakenkoumuten.com/,090-7229-0799,
"株式会社　リプレイ",2024/11/29,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都",https://www.replay-housing.com/,0285-37-7110,
"株式会社EN総合計画",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.ensougou.com/,024-954-3033,
"株式会社奥木工建設",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"茨城県;栃木県;群馬県;埼玉県",https://www.okumoku.com/zeh/,0283-62-0537,
"CREACASA",2024/09/27,2024,"B登録","新築注文戸建住宅",85,,83,,77,,83,,未,,80,,"茨城県;千葉県",https://creacasa.jp/zeh/,0475-20-1811,
"株式会社　KSA　一級建築士事務所",2024/09/27,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県",http://www.ksa-jp.com/studio.html,03-5577-6936,
"株式会社BlackPepper",2024/09/27,2024,"B登録","新築注文戸建住宅,既存改修",100,100,100,0,100,0,100,0,未,未,100,100,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.black-pepper.jp/other/what-is-the-zero-energy-house-zeh-of-the-future/,026-219-2489,
"ワールドハウス",2024/09/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,1,,未,,50,,"茨城県;千葉県",https://worldhouse.koori.jp/news/details_102.html,0479-68-3911,
"一級建築士事務所土田知佳デザイン",2024/08/30,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,50,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.chikatsuchida.com/,090-7802-4476,★★★★★☆
"株式会社KUNO",2024/08/30,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"茨城県",https://www.kuno-kensetsu.com,029-251-2429,
"一級建築士事務所　アトリエ　コム",2024/07/26,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;山梨県;静岡県",,046-224-6499,
"エムズスタイルホーム",2024/07/26,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"茨城県;栃木県",https://www.ms-style-home.jp/ZEH%E6%99%AE%E5%8F%8A%E3%81%B8%E3%81%AE%E5%8F%96%E3%82%8A%E7%B5%84%E3%81%BF%E3%83%BB%E7%9B%AE%E6%A8%99/,0285-82-4298,
"株式会社山秀",2024/07/26,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"茨城県;埼玉県;千葉県;東京都",https://www.sanshu0922.com/,04-7191-0584,
"タクトホーム株式会社",2024/07/26,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,1,,4,,未,,50,,"宮城県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;岡山県;広島県;高知県;福岡県;沖縄県",https://www.tacthome.co.jp/zeh/,042-464-8788,
"株式会社アーキデザイン",2024/06/28,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,0,0,50,50,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;山梨県;長野県;三重県",https://archi-design.tokyo/,042-686-1140,
"アーキライトホーム",2024/06/28,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県",http://www.rai-ado.com/zeh/zeh.html,0299-92-4671,
"秋山木材産業株式会社",2024/06/28,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"茨城県;千葉県;東京都",https://rfv-narashino.jp/staffblog/,0120-47-3113,
"アトリエ　Mケア　二級建築士事務所",2024/06/28,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,0,0,50,50,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;山梨県;長野県;静岡県",,03-5776-3723,
"郡司不動産株式会社",2024/06/28,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,未,,50,,"茨城県",https://gunjicorp.jp,029-305-8378,
"TIME+一級建築士事務所Live.N株式会社",2024/06/28,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,70,,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県",https://www.time-plus.jp/zeh,0120-973-765,
"タイラヤスヒロ建築設計事務所",2024/06/28,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,0,0,50,50,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.taira-arch.com/,043-312-5426,
"株式会社プラスデザイン一級建築士事務所",2024/06/28,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,25,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,03-6300-4339,
"株式会社ヤマトサービス",2024/06/28,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,0,0,0,0,0,0,0,0,50,50,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県",https://www.yamato-sv.com/contents/static/index?id=1852,048-823-1100,
"ラルゴプランニング",2024/06/28,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,55,65,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,03-6801-5205,
"六花舎設計",2024/06/28,2024,"B登録","新築注文戸建住宅",40,,50,,40,,40,,未,,75,,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県",https://www.rokkasha.com/nintei/,0480-22-5500,
"株式会社坂爪建築事務所",2024/05/31,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県",,03-3910-7758,
"チエアトリエ一級建築士事務所",2024/05/31,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,100,0,未,未,75,50,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,0766-61-2241,
"株式会社　家守",2024/05/31,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,20,0,50,50,"茨城県;栃木県;群馬県",https://yamori-kinoie.com,028-678-8957,
