登録名称（屋号）,公表日,登録年度,登録種別,ZEHビルダー/プランナーZEH普及対象,ZEH普及実績[2020年度]（新築戸建住宅）,ZEH普及実績[2020年度]（既存改修）,ZEH普及実績[2021年度]（新築戸建住宅）,ZEH普及実績[2021年度]（既存改修）,ZEH普及実績[2022年度]（新築戸建住宅）,ZEH普及実績[2022年度]（既存改修）,ZEH普及実績[2023年度]（新築戸建住宅）,ZEH普及実績[2023年度]（既存改修）,ZEH普及実績[2024年度]（新築戸建住宅）,ZEH普及実績[2024年度]（既存改修）,ZEH普及目標[2025年度]（新築戸建住宅）,ZEH普及目標[2025年度]（既存改修）,対応可能エリア,ホームページ,電話番号,ZEHビルダー/プランナー評価
"住友不動産ハウジング株式会社",2025/06/27,2025,"B登録","新築注文戸建住宅",25,,28,,30,,65,,67,,60,,"宮城県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;岡山県;広島県;福岡県;佐賀県;熊本県;大分県",https://www.j-urban.jp/zeroene/,0120-204-186,
"株式会社ネクスト",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,6,,66,,80,,"茨城県;埼玉県;千葉県;東京都;神奈川県",https://www.next-at.co.jp/corporate/,047-460-2221,
"BESS",2025/06/27,2025,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,0,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県",https://www.bess.jp/zeh/,03-5990-4070,
"有限会社山下工務店",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"茨城県;栃木県;群馬県;埼玉県;千葉県",https://k-yamashita.co.jp/,0280-84-0304,
"株式会社Lien建築設計",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"茨城県;埼玉県;千葉県;東京都;神奈川県",https://www.lien-act.jp/images/zeh.pdf,047-404-2559,
"株式会社　清水建築",2025/02/07,2024,"B登録","新築注文戸建住宅,既存改修",50,0,100,0,0,0,50,0,50,0,75,50,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県",https://shimizukenchiku.info/company_profile,048-758-0085,★★★★★☆
"株式会社昭和の森ハウス",2025/01/31,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,未,,100,,"茨城県;埼玉県;千葉県;東京都;神奈川県",https://showanomori.co.jp/shincyaku/%e4%bb%a4%e5%92%8c5%e5%b9%b4%e5%ba%a6%ef%bd%9a%ef%bd%85%ef%bd%88%e3%83%93%e3%83%ab%e3%83%80%e3%83%bc-%e3%83%97%e3%83%a9%e3%83%b3%e3%83%8a%e3%83%bc%e5%ae%9f%e7%b8%be%e5%a0%b1%e5%91%8a/,043-497-2660,
"保坂建設株式会社",2025/01/31,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"埼玉県;東京都;神奈川県",https://hosakakensetsu.com/menu/,0428-31-3001,
"大川建築設計事務所",2024/12/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,100,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,080-6955-2356,
"有限会社大崎建築事務所",2024/12/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,90,,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;富山県",,03-3426-1252,
"株式会社　島ケン工務店",2024/11/29,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,100,50,"茨城県;群馬県;埼玉県;千葉県;東京都;神奈川県",https://www.shimakenkoumuten.com/,090-7229-0799,
"設計事務所アクア株式会社",2024/11/29,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"埼玉県;千葉県;東京都;神奈川県",https://aqua-design.co/aqua/,045-900-5154,
"丸喜株式会社齋藤組",2024/11/29,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"青森県;埼玉県;千葉県;東京都;神奈川県",https://www.marukisaito.com/news/news-6447/,017-777-3329,
"株式会社メルディア",2024/11/29,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"埼玉県;千葉県;東京都;神奈川県;愛知県",https://meldia.jp/zeh/,03-5381-3228,
"ユーリ株式会社",2024/11/29,2024,"B登録","新築注文戸建住宅",0,,100,,0,,25,,未,,50,,"群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;山梨県;長野県;岐阜県;静岡県",https://juuri.jp/company,0267-46-9239,
"株式会社　リプレイ",2024/11/29,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都",https://www.replay-housing.com/,0285-37-7110,
"株式会社EN総合計画",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.ensougou.com/,024-954-3033,
"株式会社奥木工建設",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"茨城県;栃木県;群馬県;埼玉県",https://www.okumoku.com/zeh/,0283-62-0537,
"数寄清計画研究所株式会社",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,25,,未,,50,,"栃木県;群馬県;埼玉県",https://sukisuki.co.jp,0276-72-1007,
"株式会社ハビタット",2024/10/25,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,未,,50,,"埼玉県;東京都;神奈川県",https://habitat-co.jp/2024/09/30/zeh-level/,045-263-8177,
"株式会社アートクラフト",2024/09/27,2024,"B登録","新築注文戸建住宅",50,,50,,34,,34,,未,,75,,"埼玉県",https://www.craft-a.net/camp/zeh/result.html,049-235-7475,
"SS企画株式会社",2024/09/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,60,,"埼玉県",,048-782-8407,
"株式会社　KSA　一級建築士事務所",2024/09/27,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県",http://www.ksa-jp.com/studio.html,03-5577-6936,
"株式会社KBKS",2024/09/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"埼玉県;千葉県;東京都;神奈川県",,03-6883-9843,
"株式会社徳江工務店",2024/09/27,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"群馬県;埼玉県",,0270-65-7006,
"株式会社BlackPepper",2024/09/27,2024,"B登録","新築注文戸建住宅,既存改修",100,100,100,0,100,0,100,0,未,未,100,100,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.black-pepper.jp/other/what-is-the-zero-energy-house-zeh-of-the-future/,026-219-2489,
"アネシスホーム株式会社",2024/08/30,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,75,,"埼玉県",https://www.anesis-h.co.jp/news/news20240801/,048-758-3111,
"一級建築士事務所土田知佳デザイン",2024/08/30,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,50,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.chikatsuchida.com/,090-7802-4476,★★★★★☆
"株式会社ｓｏｕｔｈ設計事務所",2024/08/30,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,17,0,38,0,未,未,70,60,"宮城県;群馬県;埼玉県;東京都;長野県;愛知県",http://south6114.com,022-393-5724,
"株式会社ホウセン",2024/08/30,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,100,0,100,0,未,未,100,100,"栃木県;群馬県;埼玉県;東京都;長野県",,080-2190-0209,
"無添加建築設計株式会社",2024/08/30,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"宮城県;埼玉県;千葉県;東京都",,048-606-4526,
"山際建設有限会社",2024/08/30,2024,"B登録","新築注文戸建住宅",0,,9,,50,,0,,未,,60,,"埼玉県;東京都",https://www.yamasan.biz/information/41463/,048-281-0625,
"一級建築士事務所　アトリエ　コム",2024/07/26,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;山梨県;静岡県",,046-224-6499,
"サンエム建設株式会社",2024/07/26,2024,"B登録","新築注文戸建住宅",25,,34,,84,,100,,100,,100,,"埼玉県;東京都",https://www.san-m.net/building/zeh/,049-264-3170,★★★★★★
"株式会社山秀",2024/07/26,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"茨城県;埼玉県;千葉県;東京都",https://www.sanshu0922.com/,04-7191-0584,
"タクトホーム株式会社",2024/07/26,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,1,,4,,未,,50,,"宮城県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;岡山県;広島県;高知県;福岡県;沖縄県",https://www.tacthome.co.jp/zeh/,042-464-8788,
"FREEDOMビルド株式会社",2024/07/26,2024,"B登録","新築注文戸建住宅",0,,0,,3,,8,,未,,50,,"埼玉県;千葉県;東京都;神奈川県;滋賀県;京都府;大阪府;兵庫県;奈良県",https://freedom-build.co.jp/information/2024-07-09.html,03-6661-7795,
"株式会社夢・建築工房",2024/07/26,2024,"B登録","新築注文戸建住宅,既存改修",0,0,12,0,30,0,9,0,未,未,50,50,"埼玉県;東京都",,0120-14-1118,
"株式会社アーキデザイン",2024/06/28,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,0,0,50,50,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;山梨県;長野県;三重県",https://archi-design.tokyo/,042-686-1140,
"アーキライトホーム",2024/06/28,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県",http://www.rai-ado.com/zeh/zeh.html,0299-92-4671,
"アトリエ　Mケア　二級建築士事務所",2024/06/28,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,0,0,50,50,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;山梨県;長野県;静岡県",,03-5776-3723,
"永大総合建築株式会社",2024/06/28,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"埼玉県;千葉県;東京都;神奈川県",,047-710-7500,
"株式会社　クレアホーム",2024/06/28,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,10,0,50,50,"埼玉県;千葉県;東京都;神奈川県",https://creahome.jp/,042-451-2800,
"建象設計株式会社",2024/06/28,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"埼玉県;千葉県;東京都;神奈川県;山梨県",https://kenzo-ao.com/works/zeh%e4%bd%8f%e5%ae%85%e3%81%ae%e6%99%ae%e5%8f%8a%e7%9b%ae%e6%a8%99%e3%83%bb%e5%ae%9f%e7%b8%be/,042-449-6331,
"佐藤ホーム一級建築士事務所",2024/06/28,2024,"B登録","新築注文戸建住宅",0,,25,,34,,50,,未,,55,,"群馬県;埼玉県",https://www.satohome.net/zeh,048-597-3388,
"芝田建築デザイン",2024/06/28,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,100,,50,,"埼玉県",https://www.shibata-architect.co.jp/note/2025%e5%b9%b4%e5%ba%a6%e3%80%80zeh%e4%bd%8f%e5%ae%85%e3%81%ae%e5%8f%97%e8%a8%97%e7%9b%ae%e6%a8%99%e3%81%ab%e3%81%a4%e3%81%84%e3%81%a6/,0493-67-0238,★★★★★★
"株式会社　成和設計",2024/06/28,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,0,0,0,0,0,0,25,0,50,50,"埼玉県;千葉県;東京都;神奈川県",,042-313-8253,
