登録名称（屋号）,公表日,登録年度,登録種別,ZEHビルダー/プランナーZEH普及対象,ZEH普及実績[2020年度]（新築戸建住宅）,ZEH普及実績[2020年度]（既存改修）,ZEH普及実績[2021年度]（新築戸建住宅）,ZEH普及実績[2021年度]（既存改修）,ZEH普及実績[2022年度]（新築戸建住宅）,ZEH普及実績[2022年度]（既存改修）,ZEH普及実績[2023年度]（新築戸建住宅）,ZEH普及実績[2023年度]（既存改修）,ZEH普及実績[2024年度]（新築戸建住宅）,ZEH普及実績[2024年度]（既存改修）,ZEH普及目標[2025年度]（新築戸建住宅）,ZEH普及目標[2025年度]（既存改修）,対応可能エリア,ホームページ,電話番号,ZEHビルダー/プランナー評価
"加藤建設株式会社",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"千葉県;東京都;神奈川県",https://www.katokensetsu.com/update/%e4%bb%a4%e5%92%8c6%e5%b9%b4%e5%ba%a6zeh%e6%99%ae%e5%8f%8a%e7%9b%ae%e6%a8%99%e5%8f%8a%e3%81%b3%e5%ae%9f%e7%b8%be%e5%a0%b1%e5%91%8a/,0470-46-3953,
"住友不動産ハウジング株式会社",2025/06/27,2025,"B登録","新築注文戸建住宅",25,,28,,30,,65,,67,,60,,"宮城県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;岡山県;広島県;福岡県;佐賀県;熊本県;大分県",https://www.j-urban.jp/zeroene/,0120-204-186,
"株式会社ネクスト",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,6,,66,,80,,"茨城県;埼玉県;千葉県;東京都;神奈川県",https://www.next-at.co.jp/corporate/,047-460-2221,
"BESS",2025/06/27,2025,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,0,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県",https://www.bess.jp/zeh/,03-5990-4070,
"株式会社森山工務店",2025/06/27,2025,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,0,0,75,50,"茨城県;千葉県",https://www.big-advance.site/c/177/1668/service,029-894-2143,
"有限会社山下工務店",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"茨城県;栃木県;群馬県;埼玉県;千葉県",https://k-yamashita.co.jp/,0280-84-0304,
"株式会社Lien建築設計",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"茨城県;埼玉県;千葉県;東京都;神奈川県",https://www.lien-act.jp/images/zeh.pdf,047-404-2559,
"株式会社　清水建築",2025/02/07,2024,"B登録","新築注文戸建住宅,既存改修",50,0,100,0,0,0,50,0,50,0,75,50,"茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県",https://shimizukenchiku.info/company_profile,048-758-0085,★★★★★☆
"住ハウジング株式会社",2025/02/07,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,未,,50,,"千葉県;東京都",https://sumai-h.com/zeh/,047-335-0041,
"株式会社昭和の森ハウス",2025/01/31,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,未,,100,,"茨城県;埼玉県;千葉県;東京都;神奈川県",https://showanomori.co.jp/shincyaku/%e4%bb%a4%e5%92%8c5%e5%b9%b4%e5%ba%a6%ef%bd%9a%ef%bd%85%ef%bd%88%e3%83%93%e3%83%ab%e3%83%80%e3%83%bc-%e3%83%97%e3%83%a9%e3%83%b3%e3%83%8a%e3%83%bc%e5%ae%9f%e7%b8%be%e5%a0%b1%e5%91%8a/,043-497-2660,
