登録名称（屋号）,公表日,登録年度,登録種別,ZEHビルダー/プランナーZEH普及対象,ZEH普及実績[2020年度]（新築戸建住宅）,ZEH普及実績[2020年度]（既存改修）,ZEH普及実績[2021年度]（新築戸建住宅）,ZEH普及実績[2021年度]（既存改修）,ZEH普及実績[2022年度]（新築戸建住宅）,ZEH普及実績[2022年度]（既存改修）,ZEH普及実績[2023年度]（新築戸建住宅）,ZEH普及実績[2023年度]（既存改修）,ZEH普及実績[2024年度]（新築戸建住宅）,ZEH普及実績[2024年度]（既存改修）,ZEH普及目標[2025年度]（新築戸建住宅）,ZEH普及目標[2025年度]（既存改修）,対応可能エリア,ホームページ,電話番号,ZEHビルダー/プランナー評価
"住友不動産ハウジング株式会社",2025/06/27,2025,"B登録","新築注文戸建住宅",25,,28,,30,,65,,67,,60,,"宮城県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;岡山県;広島県;福岡県;佐賀県;熊本県;大分県",https://www.j-urban.jp/zeroene/,0120-204-186,
"BESS",2025/06/27,2025,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,0,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県",https://www.bess.jp/zeh/,03-5990-4070,
"NKThome（株式会社モリタ）",2025/02/07,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,90,90,"愛知県;三重県",,052-618-6066,
"株式会社ジェネビル",2025/02/07,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,75,75,"静岡県;愛知県",https://genebuil.co.jp/news/zeh%e6%99%ae%e5%8f%8a%e5%ae%9f%e7%b8%be%e3%81%a8%e7%9b%ae%e6%a8%99/,053-469-1305,
"ヤマモト建築",2025/02/07,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"愛知県",,0564-31-2648,
"有限会社　交告建設",2025/01/31,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"長野県;岐阜県;愛知県;三重県",,0573-22-3566,
"大川建築設計事務所",2024/12/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,100,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,080-6955-2356,
"創建設計株式会社",2024/12/27,2024,"B登録","新築注文戸建住宅",50,,100,,100,,100,,未,,75,,"岐阜県;愛知県;三重県",https://www.so-group.co.jp/,058-215-9127,
"ナッジ株式会社",2024/12/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"岐阜県;愛知県;三重県",,059-392-5630,
"株式会社ハラモク",2024/12/27,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"長野県;岐阜県;愛知県",https://haramoku.co.jp/news/20241129/,0573-65-5171,
"オークデザインハウス株式会社",2024/11/29,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"静岡県;愛知県",https://oak-design.jp/aboutus/technical,053-555-2081,
"有限会社川島建設",2024/11/29,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"岐阜県;愛知県",,0575-22-6705,
"大喜工務店",2024/11/29,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"愛知県",,0569-65-0453,
"匠堂合同会社",2024/11/29,2024,"B登録","新築注文戸建住宅",100,,100,,100,,100,,未,,100,,"福井県;岐阜県;愛知県;滋賀県",http://e-takumido.moo.jp,090-5050-1093,
"内藤建設株式会社",2024/11/29,2024,"B登録","新築注文戸建住宅",60,,43,,59,,67,,90,,75,,"岐阜県;愛知県",https://naito-home.jp/contents/corporate_torikumi.html,058-322-3031,★★★★★★
"株式会社メルディア",2024/11/29,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"埼玉県;千葉県;東京都;神奈川県;愛知県",https://meldia.jp/zeh/,03-5381-3228,
"株式会社EN総合計画",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.ensougou.com/,024-954-3033,
"株式会社スタートリビング",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,80,,"岐阜県;静岡県;愛知県;三重県",,0569-77-4308,
"株式会社　整建",2024/10/25,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,100,50,"愛知県",https://sumai-seiken.com/bels-zeh/3473/,0536-25-0808,
"株式会社宮本組",2024/10/25,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"石川県;福井県;岐阜県;愛知県;滋賀県;京都府;大阪府",https://www.miyamoto-gumi.com/home-craft-m/zeh/,0749-62-6874,
