登録名称（屋号）,公表日,登録年度,登録種別,ZEHビルダー/プランナーZEH普及対象,ZEH普及実績[2020年度]（新築戸建住宅）,ZEH普及実績[2020年度]（既存改修）,ZEH普及実績[2021年度]（新築戸建住宅）,ZEH普及実績[2021年度]（既存改修）,ZEH普及実績[2022年度]（新築戸建住宅）,ZEH普及実績[2022年度]（既存改修）,ZEH普及実績[2023年度]（新築戸建住宅）,ZEH普及実績[2023年度]（既存改修）,ZEH普及実績[2024年度]（新築戸建住宅）,ZEH普及実績[2024年度]（既存改修）,ZEH普及目標[2025年度]（新築戸建住宅）,ZEH普及目標[2025年度]（既存改修）,対応可能エリア,ホームページ,電話番号,ZEHビルダー/プランナー評価
"住友不動産ハウジング株式会社",2025/06/27,2025,"B登録","新築注文戸建住宅",25,,28,,30,,65,,67,,60,,"宮城県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;岡山県;広島県;福岡県;佐賀県;熊本県;大分県",https://www.j-urban.jp/zeroene/,0120-204-186,
"BESS",2025/06/27,2025,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,0,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県",https://www.bess.jp/zeh/,03-5990-4070,
"NKThome（株式会社モリタ）",2025/02/07,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,90,90,"愛知県;三重県",,052-618-6066,
"有限会社　交告建設",2025/01/31,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"長野県;岐阜県;愛知県;三重県",,0573-22-3566,
"寺西建築株式会社",2025/01/31,2024,"B登録","新築注文戸建住宅",0,,0,,0,,50,,未,,50,,"三重県",http://teranishikentiku.com,059-245-3366,
"とびた工務店",2025/01/31,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"三重県",https://tobitakoumuten.com/gaiyou/,0595-52-1059,
"ＨＡＲＭＯＮＹ",2025/01/31,2024,"B登録","新築注文戸建住宅",0,,0,,0,,16,,未,,51,,"三重県",https://shizensozainoie.co.jp/news/277623/,059-273-5445,
"池田建設株式会社",2024/12/27,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,12,,33,,未,,85,,"三重県",https://ike-da.co.jp/news/zeh/,059-269-7676,
"大川建築設計事務所",2024/12/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,100,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,080-6955-2356,
"創建設計株式会社",2024/12/27,2024,"B登録","新築注文戸建住宅",50,,100,,100,,100,,未,,75,,"岐阜県;愛知県;三重県",https://www.so-group.co.jp/,058-215-9127,
"ナッジ株式会社",2024/12/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"岐阜県;愛知県;三重県",,059-392-5630,
"旭建材株式会社",2024/11/29,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"三重県",https://www.asahikenzai.net/pg1294198.html,059-234-3301,
"斎藤建設株式会社",2024/11/29,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"三重県",https://www.saitokensetsu.com/,0598-42-2224,
"株式会社成樹住建",2024/11/29,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"三重県",https://narukides.com/about/,059-340-5411,
"ノッティーハウスリビング",2024/11/29,2024,"B登録","新築注文戸建住宅",17,,0,,0,,17,,未,,50,,"三重県",https://sanei-rinsan.com/arch/event/11488/,0595-98-0678,
"株式会社EN総合計画",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.ensougou.com/,024-954-3033,
"有限会社　北山建築",2024/10/25,2024,"B登録","新築注文戸建住宅,既存改修",12,0,32,0,40,0,39,0,未,未,50,50,"三重県",https://kokorohome.co.jp/concept/zeh,0598-25-2820,
"株式会社スタートリビング",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,80,,"岐阜県;静岡県;愛知県;三重県",,0569-77-4308,
"株式会社BlackPepper",2024/09/27,2024,"B登録","新築注文戸建住宅,既存改修",100,100,100,0,100,0,100,0,未,未,100,100,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.black-pepper.jp/other/what-is-the-zero-energy-house-zeh-of-the-future/,026-219-2489,
