登録名称（屋号）,公表日,登録年度,登録種別,ZEHビルダー/プランナーZEH普及対象,ZEH普及実績[2020年度]（新築戸建住宅）,ZEH普及実績[2020年度]（既存改修）,ZEH普及実績[2021年度]（新築戸建住宅）,ZEH普及実績[2021年度]（既存改修）,ZEH普及実績[2022年度]（新築戸建住宅）,ZEH普及実績[2022年度]（既存改修）,ZEH普及実績[2023年度]（新築戸建住宅）,ZEH普及実績[2023年度]（既存改修）,ZEH普及実績[2024年度]（新築戸建住宅）,ZEH普及実績[2024年度]（既存改修）,ZEH普及目標[2025年度]（新築戸建住宅）,ZEH普及目標[2025年度]（既存改修）,対応可能エリア,ホームページ,電話番号,ZEHビルダー/プランナー評価
"住友不動産ハウジング株式会社",2025/06/27,2025,"B登録","新築注文戸建住宅",25,,28,,30,,65,,67,,60,,"宮城県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;岡山県;広島県;福岡県;佐賀県;熊本県;大分県",https://www.j-urban.jp/zeroene/,0120-204-186,
"株式会社創建",2025/06/27,2025,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,5,,9,,10,,20,,50,,"京都府;大阪府;兵庫県;奈良県;和歌山県",https://www.kk-soken.net/co_navi/7a83f4477d08cd39cfe765e2f4b79806-114.html,072-267-3223,
"BESS",2025/06/27,2025,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,0,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県",https://www.bess.jp/zeh/,03-5990-4070,
"有限会社KEIJI",2025/02/07,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"滋賀県;京都府;大阪府;兵庫県;奈良県;鹿児島県",https://keiji-go.jp/zeh/zeh.html,075-575-1510,
"株式会社ジークラフト",2025/02/07,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,80,,"大阪府;奈良県",,072-959-3662,
"株式会社サンライフホームサービス",2025/01/31,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,未,,50,,"滋賀県;京都府;大阪府;兵庫県;奈良県",https://totsukawanoie.com/company/,072-693-1023,
"株式会社Anest.One",2024/12/27,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"滋賀県;京都府;大阪府;兵庫県;奈良県",,075-572-1489,
"大川建築設計事務所",2024/12/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,100,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,080-6955-2356,
"株式会社小林工務店",2024/12/27,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",29,,8,,14,,30,,未,,100,,"京都府;大阪府;兵庫県;奈良県;和歌山県",https://www.kk-kobayashi.com/dwellon/gva/,072-676-1248,
"株式会社中川忠工務店",2024/11/29,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"京都府;大阪府;兵庫県;奈良県",https://www.nakagawachu.com/co_navi/a262a0c9b2092a11601fb4cac7b020a5-213.html,072-857-6138,
"株式会社EN総合計画",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.ensougou.com/,024-954-3033,
"一級建築士事務所　イチカデザイン",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"京都府;大阪府;兵庫県;奈良県;和歌山県",,072-877-6999,
"広和建設株式会社",2024/09/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"京都府;大阪府;兵庫県;奈良県",https://www.bernahome.jp/,072-660-5503,
