登録名称（屋号）,公表日,登録年度,登録種別,ZEHビルダー/プランナーZEH普及対象,ZEH普及実績[2020年度]（新築戸建住宅）,ZEH普及実績[2020年度]（既存改修）,ZEH普及実績[2021年度]（新築戸建住宅）,ZEH普及実績[2021年度]（既存改修）,ZEH普及実績[2022年度]（新築戸建住宅）,ZEH普及実績[2022年度]（既存改修）,ZEH普及実績[2023年度]（新築戸建住宅）,ZEH普及実績[2023年度]（既存改修）,ZEH普及実績[2024年度]（新築戸建住宅）,ZEH普及実績[2024年度]（既存改修）,ZEH普及目標[2025年度]（新築戸建住宅）,ZEH普及目標[2025年度]（既存改修）,対応可能エリア,ホームページ,電話番号,ZEHビルダー/プランナー評価
"株式会社en'to",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"岡山県",https://ento8.com/journal/journal-316/,086-259-2480,
"株式会社　久保組",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"岡山県;徳島県;香川県;愛媛県;高知県",http://www.kubogumi.com/zeh.html,0896-58-2571,
"住友不動産ハウジング株式会社",2025/06/27,2025,"B登録","新築注文戸建住宅",25,,28,,30,,65,,67,,60,,"宮城県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;岡山県;広島県;福岡県;佐賀県;熊本県;大分県",https://www.j-urban.jp/zeroene/,0120-204-186,
"BESS",2025/06/27,2025,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,0,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県",https://www.bess.jp/zeh/,03-5990-4070,
"株式会社木の城いちばん",2025/01/31,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,8,0,0,0,35,0,30,0,50,50,"岡山県",https://www.kinoshiro.co.jp/wp-content/themes/kinoshiro2025/assets/pdf/zeh2025-2.pdf,086-426-9333,★★★★☆☆
"大川建築設計事務所",2024/12/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,100,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,080-6955-2356,
"アルファプラス株式会社",2024/11/29,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",46,0,54,0,56,0,77,0,未,未,100,100,"兵庫県;岡山県;徳島県;香川県;愛媛県",https://alphaplus-okayama.co.jp/company/,086-244-7613,
"三和鉄構建設株式会社",2024/11/29,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",29,0,42,0,38,0,42,0,29,0,65,50,"岡山県;広島県",https://www.onomichi-jutaku.com/co_navi/e6bca9d1c3270f52651e1f1d5a3cd74d-291.html,0848-55-5411,★★★★☆☆
"株式会社EN総合計画",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.ensougou.com/,024-954-3033,
"株式会社BlackPepper",2024/09/27,2024,"B登録","新築注文戸建住宅,既存改修",100,100,100,0,100,0,100,0,未,未,100,100,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.black-pepper.jp/other/what-is-the-zero-energy-house-zeh-of-the-future/,026-219-2489,
