登録名称（屋号）,公表日,登録年度,登録種別,ZEHビルダー/プランナーZEH普及対象,ZEH普及実績[2020年度]（新築戸建住宅）,ZEH普及実績[2020年度]（既存改修）,ZEH普及実績[2021年度]（新築戸建住宅）,ZEH普及実績[2021年度]（既存改修）,ZEH普及実績[2022年度]（新築戸建住宅）,ZEH普及実績[2022年度]（既存改修）,ZEH普及実績[2023年度]（新築戸建住宅）,ZEH普及実績[2023年度]（既存改修）,ZEH普及実績[2024年度]（新築戸建住宅）,ZEH普及実績[2024年度]（既存改修）,ZEH普及目標[2025年度]（新築戸建住宅）,ZEH普及目標[2025年度]（既存改修）,対応可能エリア,ホームページ,電話番号,ZEHビルダー/プランナー評価
"株式会社　久保組",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"岡山県;徳島県;香川県;愛媛県;高知県",http://www.kubogumi.com/zeh.html,0896-58-2571,
"BESS",2025/06/27,2025,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,0,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県",https://www.bess.jp/zeh/,03-5990-4070,
"大川建築設計事務所",2024/12/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,100,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,080-6955-2356,
"株式会社らんどめいど",2024/11/29,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,未,,50,,"高知県",https://build.landmade.co.jp/zeh/,088-883-6400,
"株式会社EN総合計画",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.ensougou.com/,024-954-3033,
"株式会社BlackPepper",2024/09/27,2024,"B登録","新築注文戸建住宅,既存改修",100,100,100,0,100,0,100,0,未,未,100,100,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.black-pepper.jp/other/what-is-the-zero-energy-house-zeh-of-the-future/,026-219-2489,
"一級建築士事務所土田知佳デザイン",2024/08/30,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,50,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.chikatsuchida.com/,090-7802-4476,★★★★★☆
"タクトホーム株式会社",2024/07/26,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,1,,4,,未,,50,,"宮城県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;岡山県;広島県;高知県;福岡県;沖縄県",https://www.tacthome.co.jp/zeh/,042-464-8788,
"平安アーキテクト",2024/07/26,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",26,0,34,0,20,0,32,0,未,未,70,70,"高知県",https://heiankomuten.com/information/,088-831-8811,
"タイラヤスヒロ建築設計事務所",2024/06/28,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,0,0,50,50,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.taira-arch.com/,043-312-5426,
"株式会社プラスデザイン一級建築士事務所",2024/06/28,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,25,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,03-6300-4339,
"ラルゴプランニング",2024/06/28,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,55,65,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,03-6801-5205,
"チエアトリエ一級建築士事務所",2024/05/31,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,100,0,未,未,75,50,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,0766-61-2241,
"株式会社セイデン",2024/04/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://nias-a.com/zeh-target/,0465-46-7733,
"株式会社ファンハウスアンドデザイン",2024/02/09,2023,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"高知県",https://www.fun-design.jp/concept.html,088-861-3380,
"株式会社OSP",2023/11/24,2023,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://osp-inc.jp/business/earth/zeh.html,078-862-1831,
"充総合計画一級建築士事務所",2023/11/24,2023,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,30,0,0,未,未,70,70,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.jyuarchitect.com/aboutus.html,03-5726-9404,
"株式会社バヤン・ハーン東京",2023/11/24,2023,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://bayanhantokyo.com/,03-6809-1866,
"株式会社ONE'S STYLE K-HOUSE DESIGN",2023/08/25,2023,"B登録","新築注文戸建住宅",0,,100,,25,,100,,50,,60,,"高知県",https://k-house-cg.com/about/,0889-20-9494,★★★★★☆
"一級建築士事務所アリス設計工房",2023/07/28,2023,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,50,0,未,未,50,50,"三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県",,073-448-5721,
"株式会社HESTA大倉",2023/07/28,2023,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,未,,75,,"宮城県;埼玉県;千葉県;東京都;神奈川県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;岡山県;広島県;高知県;福岡県;沖縄県",,0120-539-096,
"株式会社シェルター",2023/06/30,2023,"B登録","新築注文戸建住宅",0,,0,,9,,79,,未,,75,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県",https://shelter.inc/design/process,023-647-5000,
"株式会社開成開発",2023/05/26,2023,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,0,0,0,0,未,未,未,未,60,50,"高知県",,088-823-7684,
"株式会社SamePictureCompany",2023/05/26,2023,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://samepicture.co.jp/,046-854-9008,
"株式会社ファミリーホーム",2023/05/26,2023,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,1,,10,,50,,"岡山県;徳島県;香川県;愛媛県;高知県",https://www.pure-house.co.jp/news/16878/,087-813-7700,
"八千代設計事務所",2023/05/26,2023,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"徳島県;香川県;愛媛県;高知県",,0894-24-2880,
"株式会社　マンデリン",2023/02/10,2022,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,未,,60,,"高知県",https://www.mandelin-estate.com/zeh20240621.pdf,088-825-1000,
"山和木材株式会社",2023/02/10,2022,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,0,0,50,50,"高知県",https://www.yamawa-lumber.com,0887-35-3138,
"スターパイロッツ",2023/01/27,2022,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,未,未,未,未,未,未,50,50,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.starpilots.jp,03-6452-2845,
"有限会社矢野工務店",2023/01/27,2022,"B登録","新築注文戸建住宅",0,,10,,53,,89,,未,,80,,"高知県",http://yanostyle.jp/company/,0889-42-2062,
"エイチ・アーキテクツ",2022/11/25,2022,"B登録","新築注文戸建住宅",0,,0,,0,,未,,未,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.h-arch.jp/?page_id=17,03-5357-7035,
"克建　株式会社",2022/10/28,2022,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,未,,未,,未,,50,,"高知県",,088-803-5558,
"株式会社　コモドハウス",2022/10/28,2022,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://comodohouse.jp/,098-898-0293,
"日本新都市開発株式会社",2022/09/22,2022,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,0,0,0,58,0,31,未,未,50,50,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.nihonshintoshi-group.jp/zeh,03-5357-1558,
"株式会社一級建築士事務所設計組織DNA",2022/08/26,2022,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,未,未,未,未,60,60,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.den-nen.com,075-354-5115,
"キミドリ建築",2022/07/29,2022,"B登録","新築注文戸建住宅",17,,17,,50,,25,,未,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.g-wood.jp/information/,0581-52-3885,
"株式会社　エネルギーまちづくり社",2022/06/24,2022,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,100,100,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.enemachi.com/1216/,03-5860-1596,
"株式会社デザインオー建築事務所",2022/06/24,2022,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,100,100,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.design-oh.com,045-402-9206,
"天工舎一級建築士事務所",2022/06/24,2022,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,未,未,未,未,未,未,50,50,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.k-tantei.com/,0465-35-1464,
