登録名称（屋号）,公表日,登録年度,登録種別,ZEHビルダー/プランナーZEH普及対象,ZEH普及実績[2020年度]（新築戸建住宅）,ZEH普及実績[2020年度]（既存改修）,ZEH普及実績[2021年度]（新築戸建住宅）,ZEH普及実績[2021年度]（既存改修）,ZEH普及実績[2022年度]（新築戸建住宅）,ZEH普及実績[2022年度]（既存改修）,ZEH普及実績[2023年度]（新築戸建住宅）,ZEH普及実績[2023年度]（既存改修）,ZEH普及実績[2024年度]（新築戸建住宅）,ZEH普及実績[2024年度]（既存改修）,ZEH普及目標[2025年度]（新築戸建住宅）,ZEH普及目標[2025年度]（既存改修）,対応可能エリア,ホームページ,電話番号,ZEHビルダー/プランナー評価
"アークプラン株式会社",2025/06/27,2025,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県",https://arcplan.jp/company/,096-285-4248,
"BESS",2025/06/27,2025,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,0,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県",https://www.bess.jp/zeh/,03-5990-4070,
"株式会社中澤",2025/06/06,2025,"B登録","新築注文戸建住宅",0,,0,,0,,0,,0,,50,,"鹿児島県",http://nkzwgrp.com/company/,099-282-4155,
"有限会社ミウラ",2025/06/06,2025,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,0,0,0,0,0,0,0,0,100,100,"福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.miura-home.com/co_diary/78e0cee372184e9db86fb406d7f786ac.html,0957-36-0270,
"有限会社KEIJI",2025/02/07,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,50,50,"滋賀県;京都府;大阪府;兵庫県;奈良県;鹿児島県",https://keiji-go.jp/zeh/zeh.html,075-575-1510,
"大川建築設計事務所",2024/12/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,100,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",,080-6955-2356,
"株式会社キュウコーポレーション",2024/12/27,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"宮崎県;鹿児島県",https://kyucorporation.wixsite.com/kyucorporation/projects-6,0986-23-9009,
"株式会社EN総合計画",2024/10/25,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,未,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.ensougou.com/,024-954-3033,
"寺下工務店株式会社",2024/10/25,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,50,0,100,0,未,未,50,50,"鹿児島県",,099-228-2226,
"株式会社　創造企画",2024/09/27,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",100,,100,,88,,100,,未,,75,,"鹿児島県",http://sozokikaku.co.jp/about/,099-220-5131,
"株式会社BlackPepper",2024/09/27,2024,"B登録","新築注文戸建住宅,既存改修",100,100,100,0,100,0,100,0,未,未,100,100,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.black-pepper.jp/other/what-is-the-zero-energy-house-zeh-of-the-future/,026-219-2489,
"一級建築士事務所土田知佳デザイン",2024/08/30,2024,"B登録","新築注文戸建住宅",0,,0,,0,,0,,50,,50,,"青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県",https://www.chikatsuchida.com/,090-7802-4476,★★★★★☆
"株式会社かずやハウジング",2024/08/30,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅",0,,0,,0,,0,,未,,50,,"福岡県;佐賀県;熊本県;鹿児島県",https://kazuya.co.jp/event/details_95.html,0968-73-4668,
"株式会社　エバーフィールド",2024/07/26,2024,"B登録","新築注文戸建住宅",67,,100,,37,,43,,67,,80,,"福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県",https://ever-field.com/,0964-28-1100,★★★★★☆
"有限会社新建ホームズ",2024/07/26,2024,"B登録","新築注文戸建住宅,既存改修",0,0,0,0,0,0,25,0,未,未,60,60,"鹿児島県",https://sinken-homes.com/company-info/,0994-41-4151,
"フォレストホーム株式会社",2024/07/26,2024,"B登録","新築注文戸建住宅",100,,0,,100,,100,,未,,100,,"鹿児島県",http://foresthome.jp/zeh%e5%ae%9f%e7%b8%be%e5%a0%b1%e5%91%8a%e3%83%bb%e6%99%ae%e5%8f%8a%e7%9b%ae%e6%a8%99-2/,099-228-0357,
"有限会社マルタ建設",2024/07/26,2024,"B登録","新築注文戸建住宅",100,,80,,100,,100,,100,,100,,"鹿児島県",https://maruken1946.com,0994-43-9338,★★★★★★
"有限会社　ヤマケン",2024/07/26,2024,"B登録","新築注文戸建住宅,新築建売戸建住宅,既存改修",0,0,0,0,0,0,0,0,未,未,100,60,"鹿児島県;沖縄県",,0994-43-3036,
"株式会社江口工務店",2024/06/28,2024,"B登録","新築注文戸建住宅",0,,78,,42,,58,,未,,80,,"宮崎県;鹿児島県",https://eguchi-con.net/wp/wp-content/uploads/pdf/zeh.pdf,0986-24-2823,
